




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.12173881 Released 2024-06-17
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	Drosophila melanogaster (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Drosophila melanogaster - REFLIST (13821)	upload_1 (101)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
RNA polymerase III preinitiation complex assembly (GO:0070898)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
transcription preinitiation complex assembly (GO:0070897)	19	0	.14	-	 < 0.01	1.00E00	1.00E00
transcytosis (GO:0045056)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulated exocytosis (GO:0045055)	59	0	.43	-	 < 0.01	1.00E00	1.00E00
protein retention in Golgi apparatus (GO:0045053)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
miRNA-mediated gene silencing by mRNA destabilization (GO:0035279)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
miRNA-mediated gene silencing by inhibition of translation (GO:0035278)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
spiracle morphogenesis, open tracheal system (GO:0035277)	22	0	.16	-	 < 0.01	1.00E00	1.00E00
mitotic recombination (GO:0006312)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
DNA recombination (GO:0006310)	104	0	.76	-	 < 0.01	1.00E00	1.00E00
exocrine system development (GO:0035272)	94	0	.69	-	 < 0.01	1.00E00	1.00E00
biological process involved in intraspecies interaction between organisms (GO:0051703)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
ring gland development (GO:0035271)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
biological process involved in interaction with symbiont (GO:0051702)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
endocrine system development (GO:0035270)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
biological process involved in interaction with host (GO:0051701)	25	0	.18	-	 < 0.01	1.00E00	1.00E00
protein insertion into ER membrane (GO:0045048)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of calcineurin-NFAT signaling cascade (GO:0070886)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein targeting to ER (GO:0045047)	25	0	.18	-	 < 0.01	1.00E00	1.00E00
protein import into peroxisome membrane (GO:0045046)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of calcineurin-NFAT signaling cascade (GO:0070884)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
apoptotic DNA fragmentation (GO:0006309)	18	0	.13	-	 < 0.01	1.00E00	1.00E00
protein import into mitochondrial intermembrane space (GO:0045041)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
DNA catabolic process (GO:0006308)	21	0	.15	-	 < 0.01	1.00E00	1.00E00
protein insertion into mitochondrial outer membrane (GO:0045040)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
protein localization to nuclear envelope (GO:0090435)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
DNA alkylation repair (GO:0006307)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
protein O-linked mannosylation (GO:0035269)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
protein mannosylation (GO:0035268)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
double-strand break repair via nonhomologous end joining (GO:0006303)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
double-strand break repair (GO:0006302)	96	0	.70	-	 < 0.01	1.00E00	1.00E00
postreplication repair (GO:0006301)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
organ growth (GO:0035265)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
multicellular organism growth (GO:0035264)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
genital disc sexually dimorphic development (GO:0035263)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
gonad morphogenesis (GO:0035262)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
external genitalia morphogenesis (GO:0035261)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
internal genitalia morphogenesis (GO:0035260)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
protein insertion into mitochondrial inner membrane (GO:0045039)	14	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of glycogen metabolic process (GO:0070875)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of glycogen metabolic process (GO:0070874)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
sensory organ precursor cell division (GO:0045035)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of glycogen metabolic process (GO:0070873)	18	0	.13	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein exit from endoplasmic reticulum (GO:0070863)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein exit from endoplasmic reticulum (GO:0070862)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
inorganic anion transport (GO:0015698)	55	0	.40	-	 < 0.01	1.00E00	1.00E00
regulation of protein exit from endoplasmic reticulum (GO:0070861)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
quaternary ammonium group transport (GO:0015697)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
early endosome to late endosome transport (GO:0045022)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
magnesium ion transport (GO:0015693)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
synaptic transmission, glutamatergic (GO:0035249)	22	0	.16	-	 < 0.01	1.00E00	1.00E00
peptidyl-arginine omega-N-methylation (GO:0035247)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
malonate catabolic process (GO:0090410)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peptidyl-arginine N-methylation (GO:0035246)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
ocellus pigmentation (GO:0033060)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
mitochondrial magnesium ion transmembrane transport (GO:0045016)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
actin nucleation (GO:0045010)	14	0	.10	-	 < 0.01	1.00E00	1.00E00
vitamin A biosynthetic process (GO:0035238)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ionotropic glutamate receptor signaling pathway (GO:0035235)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
ectopic germ cell programmed cell death (GO:0035234)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
germ cell repulsion (GO:0035233)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular pigmentation (GO:0033059)	15	0	.11	-	 < 0.01	1.00E00	1.00E00
germ cell attraction (GO:0035232)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
cytoneme assembly (GO:0035231)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
response to epidermal growth factor (GO:0070849)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
response to growth factor (GO:0070848)	35	0	.26	-	 < 0.01	1.00E00	1.00E00
DNA-templated DNA replication maintenance of fidelity (GO:0045005)	19	0	.14	-	 < 0.01	1.00E00	1.00E00
plasma membrane copper ion transport (GO:0015679)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA replication proofreading (GO:0045004)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
double-strand break repair via synthesis-dependent strand annealing (GO:0045003)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
reactive nitrogen species metabolic process (GO:2001057)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
copper ion import (GO:0015677)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
double-strand break repair via single-strand annealing (GO:0045002)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of cysteine-type endopeptidase activity (GO:2001056)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of glutamate-cysteine ligase activity (GO:0035229)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
oxygen transport (GO:0015671)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of glutamate-cysteine ligase activity (GO:0035227)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
determination of genital disc primordium (GO:0035225)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
genital disc anterior/posterior pattern formation (GO:0035224)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
leg disc pattern formation (GO:0035223)	20	0	.15	-	 < 0.01	1.00E00	1.00E00
wing disc pattern formation (GO:0035222)	79	0	.58	-	 < 0.01	1.00E00	1.00E00
negative regulation of mitotic sister chromatid segregation (GO:0033048)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
genital disc pattern formation (GO:0035221)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of mitotic sister chromatid segregation (GO:0033047)	14	0	.10	-	 < 0.01	1.00E00	1.00E00
wing disc development (GO:0035220)	387	0	2.83	-	 < 0.01	1.20E-01	1.00E00
negative regulation of sister chromatid segregation (GO:0033046)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of sister chromatid segregation (GO:0033045)	35	0	.26	-	 < 0.01	1.00E00	1.00E00
regulation of chromosome organization (GO:0033044)	63	0	.46	-	 < 0.01	1.00E00	1.00E00
regulation of organelle organization (GO:0033043)	337	0	2.46	-	 < 0.01	1.83E-01	1.00E00
dehydroascorbic acid transport (GO:0070837)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
gas transport (GO:0015669)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
basement membrane assembly (GO:0070831)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
protein localization to non-motile cilium (GO:0097499)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of integrin-mediated signaling pathway (GO:2001046)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
bicellular tight junction assembly (GO:0070830)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of integrin-mediated signaling pathway (GO:2001044)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
labial disc development (GO:0035217)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
haltere disc development (GO:0035216)	14	0	.10	-	 < 0.01	1.00E00	1.00E00
genital disc development (GO:0035215)	50	0	.37	-	 < 0.01	1.00E00	1.00E00
eye-antennal disc development (GO:0035214)	64	0	.47	-	 < 0.01	1.00E00	1.00E00
clypeo-labral disc development (GO:0035213)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
cell competition in a multicellular organism (GO:0035212)	19	0	.14	-	 < 0.01	1.00E00	1.00E00
spermathecum morphogenesis (GO:0035211)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
prepupal development (GO:0035210)	15	0	.11	-	 < 0.01	1.00E00	1.00E00
heterochromatin organization (GO:0070828)	19	0	.14	-	 < 0.01	1.00E00	1.00E00
neuron projection guidance (GO:0097485)	252	0	1.84	-	 < 0.01	2.68E-01	1.00E00
dendrite extension (GO:0097484)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of hemocyte proliferation (GO:0035208)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of hemocyte proliferation (GO:0035207)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of hemocyte proliferation (GO:0035206)	40	0	.29	-	 < 0.01	1.00E00	1.00E00
positive regulation of lamellocyte differentiation (GO:0035205)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of lamellocyte differentiation (GO:0035204)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of lamellocyte differentiation (GO:0035203)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
tracheal pit formation in open tracheal system (GO:0035202)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
export across plasma membrane (GO:0140115)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
extracellular vesicle biogenesis (GO:0140112)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
hydrogen sulfide metabolic process (GO:0070813)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
microtubule polymerization (GO:0046785)	33	0	.24	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle localization (GO:0097479)	25	0	.18	-	 < 0.01	1.00E00	1.00E00
regulation of response to drug (GO:2001023)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
tetrapyrrole catabolic process (GO:0033015)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tetrapyrrole biosynthetic process (GO:0033014)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
tetrapyrrole metabolic process (GO:0033013)	16	0	.12	-	 < 0.01	1.00E00	1.00E00
protein autophosphorylation (GO:0046777)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
positive regulation of retrograde axon cargo transport (GO:2001019)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
signal release from synapse (GO:0099643)	79	0	.58	-	 < 0.01	1.00E00	1.00E00
regulation of retrograde axon cargo transport (GO:2001017)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
anterograde axonal protein transport (GO:0099641)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
axo-dendritic protein transport (GO:0099640)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ubiquitin-dependent glycoprotein ERAD pathway (GO:0097466)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of double-strand break repair via homologous recombination (GO:1905168)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
epithelial cell proliferation involved in renal tubule morphogenesis (GO:2001013)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of lysosomal protein catabolic process (GO:1905167)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of lysosomal protein catabolic process (GO:1905166)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of lysosomal protein catabolic process (GO:1905165)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
neurotransmitter receptor transport, endosome to plasma membrane (GO:0099639)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
endosome to plasma membrane protein transport (GO:0099638)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
neurotransmitter receptor transport (GO:0099637)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of membrane invagination (GO:1905155)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of membrane invagination (GO:1905153)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peripheral nervous system neuron axonogenesis (GO:0048936)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
peripheral nervous system neuron development (GO:0048935)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
peripheral nervous system neuron differentiation (GO:0048934)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
neurotransmitter receptor diffusion trapping (GO:0099628)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
viral budding (GO:0046755)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lysosomal protein catabolic process (GO:1905146)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to acetylcholine (GO:1905145)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
response to acetylcholine (GO:1905144)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular modified amino acid biosynthetic process (GO:0042398)	19	0	.14	-	 < 0.01	1.00E00	1.00E00
[2Fe-2S] cluster assembly (GO:0044571)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphagen biosynthetic process (GO:0042396)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of membrane potential (GO:0042391)	86	0	.63	-	 < 0.01	1.00E00	1.00E00
supramolecular fiber organization (GO:0097435)	211	0	1.54	-	 < 0.01	4.11E-01	1.00E00
negative regulation of meiotic chromosome separation (GO:1905133)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of meiotic chromosome separation (GO:1905132)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
carcinine import across plasma membrane (GO:1905130)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
plasmatocyte differentiation (GO:0042387)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
hemocyte differentiation (GO:0042386)	31	0	.23	-	 < 0.01	1.00E00	1.00E00
hemolymph coagulation (GO:0042381)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
protein maturation by iron-sulfur cluster transfer (GO:0097428)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of neurotransmitter receptor activity (GO:0099601)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of axo-dendritic protein transport (GO:1905126)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
secondary metabolite biosynthetic process (GO:0044550)	17	0	.12	-	 < 0.01	1.00E00	1.00E00
vitamin K metabolic process (GO:0042373)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
vitamin K biosynthetic process (GO:0042371)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glutathione transmembrane transport (GO:0034775)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
vitamin D catabolic process (GO:0042369)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
basement membrane disassembly (GO:0034769)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
water-soluble vitamin biosynthetic process (GO:0042364)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
fat-soluble vitamin catabolic process (GO:0042363)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of monoatomic ion transmembrane transport (GO:0034767)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
fat-soluble vitamin biosynthetic process (GO:0042362)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of monoatomic ion transmembrane transport (GO:0034766)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of monoatomic ion transmembrane transport (GO:0034765)	21	0	.15	-	 < 0.01	1.00E00	1.00E00
positive regulation of transmembrane transport (GO:0034764)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of transmembrane transport (GO:0034763)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of transmembrane transport (GO:0034762)	23	0	.17	-	 < 0.01	1.00E00	1.00E00
positive regulation of iron ion transmembrane transport (GO:0034761)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
symbiont entry into host cell (GO:0046718)	25	0	.18	-	 < 0.01	1.00E00	1.00E00
acid secretion (GO:0046717)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
muscle cell cellular homeostasis (GO:0046716)	31	0	.23	-	 < 0.01	1.00E00	1.00E00
long-chain fatty acid import into cell (GO:0044539)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle lumen acidification (GO:0097401)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
vitamin D metabolic process (GO:0042359)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
thiamine diphosphate metabolic process (GO:0042357)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of iron ion transmembrane transport (GO:0034759)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of iron ion transport (GO:0034758)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of iron ion transport (GO:0034756)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
'de novo' GDP-L-fucose biosynthetic process (GO:0042351)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
iron ion transmembrane transport (GO:0034755)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
GDP-L-fucose biosynthetic process (GO:0042350)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
positive energy taxis (GO:0052128)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
membrane disassembly (GO:0030397)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
CDP biosynthetic process (GO:0046705)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
CDP metabolic process (GO:0046704)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of mitochondrial mRNA stability (GO:0044528)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
insecticide catabolic process (GO:0046701)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA biosynthetic process (GO:2000573)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA C3-cytosine methylation (GO:0106217)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fructose 1,6-bisphosphate metabolic process (GO:0030388)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
sperm mitochondrion organization (GO:0030382)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
chorion-containing eggshell pattern formation (GO:0030381)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
cuticle development involved in chitin-based cuticle molting cycle (GO:0042337)	34	0	.25	-	 < 0.01	1.00E00	1.00E00
cuticle development (GO:0042335)	234	0	1.71	-	 < 0.01	4.22E-01	1.00E00
gravitaxis (GO:0042332)	27	0	.20	-	 < 0.01	1.00E00	1.00E00
cellular response to zinc ion (GO:0071294)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of phosphorylation (GO:0042327)	50	0	.37	-	 < 0.01	1.00E00	1.00E00
negative regulation of phosphorylation (GO:0042326)	19	0	.14	-	 < 0.01	1.00E00	1.00E00
regulation of phosphorylation (GO:0042325)	86	0	.63	-	 < 0.01	1.00E00	1.00E00
nucleosome organization (GO:0034728)	32	0	.23	-	 < 0.01	1.00E00	1.00E00
piecemeal microautophagy of the nucleus (GO:0034727)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of circadian sleep/wake cycle, sleep (GO:0042321)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
protein-FAD linkage (GO:0018293)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
guanine nucleotide transport (GO:0001408)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial translation (GO:0032543)	101	0	.74	-	 < 0.01	1.00E00	1.00E00
positive regulation of gastrulation (GO:2000543)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to cadmium ion (GO:0071276)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
iron incorporation into metallo-sulfur cluster (GO:0018283)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of cytoplasmic translational initiation (GO:1904690)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
metal incorporation into metallo-sulfur cluster (GO:0018282)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cell projection size (GO:0032536)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cellular component size (GO:0032535)	166	0	1.21	-	 < 0.01	6.37E-01	1.00E00
regulation of follicle cell microvillus length (GO:0032533)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of microvillus length (GO:0032532)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of follicle cell microvillus organization (GO:0032531)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of microvillus organization (GO:0032530)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to environmental stimulus (GO:0104004)	69	0	.50	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein import into nucleus (GO:0042308)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cytoplasmic translational initiation (GO:1904689)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein import into nucleus (GO:0042307)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of cytoplasmic translational initiation (GO:1904688)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of protein import into nucleus (GO:0042306)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
protein N-linked glycosylation via asparagine (GO:0018279)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of fatty acid biosynthetic process (GO:0042304)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
molting cycle (GO:0042303)	85	0	.62	-	 < 0.01	1.00E00	1.00E00
L-methionine salvage (GO:0071267)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of metalloendopeptidase activity (GO:1904684)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of metalloendopeptidase activity (GO:1904683)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
L-methionine biosynthetic process (GO:0071265)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of peptidyl-threonine phosphorylation (GO:0010799)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
follicle cell microvillus organization (GO:0032529)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
microvillus organization (GO:0032528)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
cellular response to mechanical stimulus (GO:0071260)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
protein exit from endoplasmic reticulum (GO:0032527)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
polyprenol catabolic process (GO:0016095)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to retinoic acid (GO:0032526)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of ubiquinone biosynthetic process (GO:0010795)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
polyprenol biosynthetic process (GO:0016094)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
polyprenol metabolic process (GO:0016093)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of mRNA export from nucleus (GO:0010793)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA double-strand break processing involved in repair via single-strand annealing (GO:0010792)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hematopoietic stem cell homeostasis (GO:0061484)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of somatic stem cell division (GO:1904677)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of somatic stem cell division (GO:1904675)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
iron-sulfur cluster transmembrane transport (GO:1902497)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of phosphoprotein phosphatase activity (GO:0032516)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle priming (GO:0016082)	15	0	.11	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle docking (GO:0016081)	18	0	.13	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle targeting (GO:0016080)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
meiotic DNA double-strand break formation involved in reciprocal meiotic recombination (GO:0010780)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endosome to lysosome transport via multivesicular body sorting pathway (GO:0032510)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell migration (GO:0030336)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell migration (GO:0030335)	62	0	.45	-	 < 0.01	1.00E00	1.00E00
regulation of cell migration (GO:0030334)	88	0	.64	-	 < 0.01	1.00E00	1.00E00
DNA damage response, signal transduction by p53 class mediator (GO:0030330)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
protein delipidation (GO:0051697)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
pointed-end actin filament capping (GO:0051694)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
actin filament capping (GO:0051693)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
cellular response to metal ion (GO:0071248)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
cellular response to carbon dioxide (GO:0071244)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular response to arsenic-containing substance (GO:0071243)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle exocytosis (GO:0016079)	53	0	.39	-	 < 0.01	1.00E00	1.00E00
cellular response to ammonium ion (GO:0071242)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
tRNA decay (GO:0016078)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
endosome transport via multivesicular body sorting pathway (GO:0032509)	27	0	.20	-	 < 0.01	1.00E00	1.00E00
